,DARMC_X,DARMC_Y,DARMC_OBJECTID,NAME,NAME2,Latitude,Longitude,Geo_Q,F2008_Wreck,F2010_Wreck,Geo_D,Start_Date,End_Date,Date_Q,Date_D,Depth,Depth_Q,Year_Found,Year_Found_1,Cargo_1,Cargo_Type1,Cargo_2,Cargo_Type2,Cargo_3,Cargo_Type_3,Other_Cargo,Gear,Estimated displacement,Comments,Length,Width,Size_Detail,Parker_ref,Parker?,Bibliography AFM State 2008,Bibliography_2,OXREP_locid,OXREP_Site_Name,OXREP_Wreck_Name,OXREP_Earliest_Date,OXREP_Latest_Date,OXREP_Dating_comment,OXREP_Wreck_ID,OXREP_Strauss_ID,OXREP_Parker_Number,OXREP_Sea_area,OXREP_Country,OXREP_Region,OXREP_Min_depth,OXREP_Max_depth,OXREP_Depth,OXREP_Period,OXREP_Reference,OXREP_Comments,OXREP_Stone_cargo_notes,OXREP_Other_cargo,OXREP_Hull_remains,OXREP_Shipboard_paraphernalia,OXREP_Ship_equipment,OXREP_Estimated_tonnage,,
234,545465.5049,6815207.177,235,Woerden 2, ,52.083333,4.9,ca,973,1017, ,0,0, , , ,silted,1988, , ,, ,, , , ,, ,"Roman river boat similar to Woerden 1, oak sailed vessel in Roman context. No dating in db. ",20,3.1, , ,0,"Navis I, Woerden 2, #14; M.D. de Weerd 1988, 148-155; M.D. de Weerd 1990, 75; L.T. Lehmann 1991, 24-27; S. McGrail 1995, 139-145; J.K. Haalebos, C. van Driel Murray, and M. Neyses 1996, 498-499.", ,,,,,,,,,,,,,,,,,,,,,,,,,,
783,1580736.769,4302914.922,784,Xlendi 4, ,36.016667,14.2, ,986,1027, ,0,0, , ,30, , , ,ceramic,, ,, , , ,, ,Whether pottery finds are definitely evidence of wreck(s) is disputed - see amphora classification/dating in Azzopardi 2013,0,0, ,1237,1,, ,1172,Xlendi,Xlendi D,,,,8607,,1237,,,,,,,,,,,,,,,,,
608,1200395.176,4457708.066,609,Zembretta, ,37.133333,10.783333, ,1025,0, ,0,0, , , , , , ,amphoras,, ,, , , ,, ,,0,0, ,1251,1,, ,2115,Zembretta,Zembretta,,,,8619,,1251,,,,,,,,,,,,,,,,,
368,764542.2628,5376886.546,369,Agay H, ,43.425,6.868,ca,0,0, ,1,200, , ,10.5,1.5 +/-, , ,Amphoras,Dressel 20 (late), ,, , , ,, ,,0,0, , ,0,,A. Joncheray and J.P. Joncheray 2012.,,,,,,,,,,,,,,,,,,,,,,,,,,
91,89055.5926,4995148.557,92,Ametlla de Mar 3, ,40.883333,0.8,ca,22,26, ,1,300, , , , , , ,amphoras,Dr20, ,, , , ,, ,,0,0, ,38,1,"Navis I, Aquileia, #94; L. Bertacchi 1990; C. Beltrame 1996; C. Beltrame 2000.", ,1422,Ametilla de Mar,Ametilla de Mar C,1,300,C 1st-3rd AD,7471,,38,Western Mediterranean,Spain,,,,Unknown,Roman Imperial,Unpublished.,A wreck of very broken up Dressel 20 amphorae is known here but no details have been reported.,,,,,,,,
753,1487970.564,5743035.963,754,Aquileia, ,45.766667,13.366667, ,28,33, ,1,200,ca, , ,silted, , , ,, ,, , , ,, ,Roman context; ship was sewn,0,0, , ,0,"Navis I, Aquileia, #94", ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Aquileia 1988,,45.769,13.353,,,,,1,100,ca,,,,1988,,,,,,,,,,,section of plank from hull of Roman sewn-plank boat; wooden pegs and fragments of rope preserved inside holes; est. original size >15 m,2.7,,longest surviving plank,,,"Bertacchi 1990; Beltrame 2002a, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,
255,564018.7534,5360296.627,256,Aragnon, ,43.316667,5.066667, ,29,34, ,1,50,?, ,0, , , ,amphoras,Dr6, ,, , , ,, ,terracotta stoppers sealed with pitch,0,0, ,49,1,, ,2252,Aragnon,Aragnon,1,50,1st half C 1st AD,7481,,49,Western Mediterranean,France,,,,Very shallow,Roman Imperial,"Carraze, 1970e and 1976a, 71-2, fig.5; Pomey et al, 1989, 25-6.",,,,,"A flat-bottomed amphora and a large jug were also found, presumably not part of the cargo.",,,,
570,1146590.755,5388389.273,571,Ardenza, ,43.5,10.3, ,31,36, ,1,100, , ,11, , , ,amphoras,Dr14, ,, , , ,, ,heavily looted; many amphoras; pieces of the ship present,20,10,remains,51,1,, ,1834,Ardenza,Ardenza,25,75,,7483,,51,,,,,,,Roman Imperial,"Etienne & Mayet 2000, 238 no 6",,,,,,,,,
207,519490.957,5406310.842,208,Arles-Rhône, ,43.616667,4.666667, ,35,40, ,1,100, , ,10, ,1986, ,amphoras,Pélichet47, ,, , , ,, ,in the river bed of the Rhone; possibly a wreck,0,0, ,56,1,, ,2397,Arles,Arles-Rhone,1,100,,7488,,56,,,,,,,Roman Imperial,,,,,,,,,,
1043,2922136.633,4638455.212,1044,Atalanti, ,38.416667,26.25,?,42,47, ,1,100, , ,22, , , , ,, ,, , , ,lead anchor stock, ,,0,0, ,62,1,, ,1918,Atalanti,Atalanti,1,100,C 1st AD,92,68,62,Aegean,Greece,Chios,22,22,22m,Roman Imperial,"G. Touchais, BCH 109 (1985), 831; Parker (1992), 62.",Amphorae present but not described.,,,,,"A lead anchor 



stock.",,,
445,977756.1941,5093808.168,446,Baie de Conca,calanque de Conca,41.55,8.783333, ,60,63, ,1,100, , ,12.5,ca (10-15 m range),1988, ,amphoras,Gaulish,dolia,, , , ,, ,"area used by dive clubs, so little found",0,0, , ,0,"P. Pomey and L. Long 1993, 60.", ,,,,,,,,,,,,,,,,,,,,,,,,,,
66,-77923.6436,4541822.947,67,Bajo de la Campana 3, ,37.733333,-0.7,ca,64,67, ,1,300, , , , , , ,amphoras,"Dr7-11, Dr14, Dr20", ,, , , ,wood fragments, ,,0,0, , ,0,"J.P. Reyes 1996, 68 n17.", ,,,,,,,,,,,,,,,,,,,,,,,,,,
460,1024139.315,5064104.463,461,Balise du Prêtre 2, ,41.35,9.2, ,65,68, ,1,100,?, ,17, , , ,amphoras,Dr2-4  Dr21,ceramic,"mortaria, other pottery",metal,copper ingots, ,, ,,0,0, ,86,1,, ,1551,Balise du Pretre,Balise du Pretre B,1,100,,7517,,86,,,,,,,Roman Imperial,,,,,,,,,,
328,709105.1564,5329339.938,329,Bénat 1, ,43.114,6.37,ca,0,0, ,1,100, , ,37, ,1965, ,Amphoras,,lids,, , , ,, ,,0,0, , ,0,,R. Calmes 1973; A. Joncheray and J.P. Joncheray 2012.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Bénat 1,,43.114,6.37,ca,,,,1,100,,,37,,1965,,Amphoras,Dressel 41; Dressel 7; Dressel 10,Ceramic,lids,,,,,,"Location given as ""North-East of cape Bénat""; cargo find only, no wooden remains.",,,,,,R. Calmes 1973; A. Joncheray and J.P. Joncheray 2012.,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,709105.1564,5325375.951,330,Bénat 2, ,43.088,6.37,ca,0,0, ,1,200, , ,46, ,1976, ,Amphoras,Dressel 1C; 3 dolia, ,, , , ,, ,"Location given as ""south-East of l'îlot Christaou""",0,0, , ,0,,A. Joncheray and J.P. Joncheray 2012.,,,,,,,,,,,,,,,,,,,,,,,,,,
323,708548.5589,5324309.011,324,Bénat 3, ,43.081,6.365,ca,0,0, ,1,50, , ,56, ,1980, ,Amphoras,, ,, , , ,, ,"Location given as ""south of cape Bénat""",0,0, , ,0,,A. Joncheray and J.P. Joncheray 2012.,,,,,,,,,,,,,,,,,,,,,,,,,,
87,48238.446,4924240.587,88,Benicarlo, ,40.4,0.433333, ,74,77, ,1,50,ca, ,10, , , ,amphoras,Haltern70,amphoras,Dr2-4,amphoras,Dr20, ,, ,,30,0,remains,99,1,, ,1282,Benicarlo,Benicarlo,1,50,,7530,,99,,,,,,,Roman Imperial,,,,,,,,,,
1173,3765419.291,4338050.853,1174,Boğsak, ,36.27155,33.825337, ,1057,82, ,1,200, , , , ,2006, ,amphoras,Dr2-4,ceramic,plates and bowls,ceramic,"""silo-like large vessels""", ,, ,also Roman cooking pots,0,0, , ,0,Ç. Toskay-Evrin and V. Evrin 2006., ,,,,,,,,,,,,,,,,,,,,,,,,,,
359,758827.8622,5373055.472,360,Boulouris, ,43.4,6.816667, ,82,86, ,1,275,ca, ,5,shallow,1956, ,amphoras,Dr20A terracotta stoppers, ,, , , ,, ,,0,0, ,110,1,,A. Joncheray and J.P. Joncheray 2012.,2054,Boulouris,Boulouris,1,275,,7538,,110,,,,,,,Roman Imperial,,,,,,,,,,
969,2005606.159,4376566.835,970,Bozukkale, ,36.55,18.016667, ,88,92, ,1,300, , , , ,1980, ,ceramic,"2 coarseware jugs, bowl",amphoras,Rhodes; Agora G199, , , ,, ,,0,0, ,112,1,,J. Leidwanger 2011.,1101,Bozukkale,Bozukkale,,,,39,24,112,Aegean,Turkey,Marmaris Peninsula,,,Not known,Not known,"J. Rosloff, IJNA 10 (1981), 277-86; Parker (1992), 112.",,,,,2 coarse ware bowls and a jug.,,,,
895,1727307.432,4619528.994,896,Brida Marina, ,38.283333,15.516667,ca,90,94, ,1,200, , , , , , ,ceramic,early Imperial 'rosso interno' pottery, ,, , , ,, ,,0,0, ,116,1,, ,1484,Brida Marina,Brida Marina,1,200,,7544,,116,,,,,,,Roman Imperial,,,,,,,,,,
3,-964768.9202,5208533.24,4,Cabo de Mar, ,42.316667,-8.666667,ca,95,99, ,1,300,?, , , , , ,amphoras,Beltrán 2B?, ,, , , ,, ,,0,0, ,121,1,,Check Cabo de Mar Amphora type (and find bibliography); no additional biblio (to Parker) cited in db (error).,748,Cabo de Mar,Cabo de Mar,1,300,,7260,,121,Non-Mediterranean,,,,,,Roman Imperial,,,,,,,,,,
132,328392.4978,4743180.618,133,Cabrera 4, ,39.15,2.95,ca,99,103, ,1,15,ca, , , , , ,amphoras,Dr7 Dr2-4 stamps,metal,lead ingots, , , ,,"lead reservoir, lead jar, bronze jug-handle, terracotta tubelet, coarseware jug and jar, stamped Arretine plate 3 bronze helmets, 2 iron anchors3 ",cargo probably from Baetica,0,0, ,126,1,, ,1482,Cabrera,Cabrera D,1,15,,7552,,126,,,,,,,Roman Imperial,,,,,,,,,,
5,-705023.4417,4371948.788,6,Cádiz 3,'Pecio del Clavo',36.516667,-6.333333, ,101,105, ,1,250,ca, ,14, , , ,amphoras,Dr20,dolia,,metal,copper nail, ,, ,,0,0, ,130,1,, ,1741,Cadiz,Cadiz C,70,96,,7556,,130,,,,13,14,,Roman Imperial,"Etienne & Mayet 2004, 213 no. 1",Flavian,,,,,,,,
487,1038981.914,4745573.338,488,Cagliari 1, ,39.166667,9.333333,?,108,112, ,1,300, , , , , , ,amphoras,G4, ,, , , ,, ,,0,0, ,139,1,, ,1933,Cagliari,Cagliari A,1,300,,7563,,139,,,,,,,Roman Imperial,,,,,,,,,,
,,,,Cala di Conca,,41.734,9.408,ca,,,,1,200,ca,,18,13-18m,,,Ceramic,Dolia and ceramic fragments,,,,,,,,,,,,,,Massy 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
798,1608566.642,4418219.295,799,Camarina 2, ,36.85,14.45, ,125,131, ,1,100, , , ,shallow, , ,ceramic,African-type lamps,metal,bronze dolphin, , , ,, ,,0,0, ,164,1,, ,2075,Camarina,Camarina B,1,100,C1st AD,7588,,164,,Italy,Sicily,,,,Roman Imperial,"G. di Stefano, Archaeologia maritima Mediterranea 2007, 143-156",A cargo of 73 oil lamps.,,"A block of 73 North African oil lamps that had been carried in fabric sacks, and all were marked with the maker's mark STACTE as well as being decorated","Some preserved, four bronze nails.","A bronze stylus, a bronze dolphin, a silver cockerel (5cm high) a marble plate, a 2-handled silver cup, a bronze stone-cutter with pointed ends and a hole for hanging it up; a bronze spoon with a long handle (15.7cm).",,,,
352,743985.2635,5342463.602,353,Camerat 1, ,43.2,6.683333, ,128,134, ,1,100,ca,c1,25, , , ,tiles,"imbrices, tegulae", ,, , , ,, ,dating based on decoration on tiles,0,0, , ,0,"P. Pomey and L. Long 1988, 37.", ,,,,,,,,,,,,,,,,,,,,,,,,,,
327,708734.0914,5324664.644,328,Cap Bénat 3, ,43.083333,6.366667, ,134,140, ,1,50,ca, ,54, , , ,amphoras,Laubenheimer54 Haltern70, ,, , , ,lead device/water heater, ,,0,0, ,174,1,, ,1548,Cap Benat,Cap Benat C,1,50,,7597,,174,,,,,,,Roman Imperial,,,,,,,,,,
630,1228225.048,4450728.753,631,Cap Bon 1, ,37.083333,11.033333,?,136,142, ,1,100,?, , , , , ,amphoras,Haltern70, ,, , , ,, ,,0,0, ,177,1,, ,895,Cap Bon,Cap Bon A,1,100,,7600,,177,,,,,,,Roman Imperial,,,,,,,,,,
142,341379.7718,5299296.253,143,Cap Leucate 1, ,42.916667,3.066667, ,144,150, ,1,275,ca, , , , , ,amphoras,Dr20, ,, , , ,, ,,0,0, ,192,1,, ,928,Cap Leucate,Cap Leucate A,1,275,,7615,,192,,,,,,,Roman Imperial,,,,,,,,,,
918,1819698.417,5336063.966,919,Cape Izmetiste, ,43.158078,16.346629, ,156,162, ,1,100, , , , , , , ,, ,, , , ,, ,,0,0, , ,0,"M. Jurišić 2000; A.M. McCann and J.P. Oleson 2004, 92.", ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cape Pelegrin,,43.183,16.366,,,,,1,150,,,,,,,Amphoras,"1 amphora; amphoras (MR4, quantity ??); amphoras (Rhodian, quantity ??) ",,,,,,,,A totally looted site of amphorae and pottery; ECW -like pottery,,,,,,"M. Jurisic 2000, no. 54",,,,,,,,,,,,,,,,,,,,,,,,,,,
437,964768.9202,5123603.91,438,Capo di Muro, ,41.75,8.666667, ,166,172, ,1,500, , ,22, , , ,amphoras,pear-shaped, ,, , , ,lead anchor stocks, ,,0,0, ,225,1,, ,609,Capo di Muro,Capo di Muro,1,400,,7648,,225,,,,,,,Roman Imperial,,,,,,,,,,
817,1623409.241,4657416.391,818,Capo Graziano 3, ,38.55,14.583333, ,174,180, ,1,10,?, ,44, , , ,amphoras,Dr20 Dr7 Dr2-4 horn-handled, ,, , , ,lead anchor stock, ,100 m from coast,0,0, ,235,1,, ,920,Capo Graziano,Capo Graziano C,1,10,,7658,,235,,,,,,,Roman Imperial,,,,,,,,,,
883,1703188.209,4555908.083,884,Capo Taormina, ,37.833333,15.3, ,182,188, ,1,500, , ,28, , , ,marble,"37 green marble columns, 2 blocks", ,, , , ,sounding lead, ,copper bolt with square plate,0,0, ,256,1,, ,1695,Capo Taormina,Capo Taormina,1,400,Roman Imperial,167,376,256,Central Mediterranean,Italy,North east Sicily,21,28,28m,Roman Imperial,"G. KapitÌ_n, Atti del III Congresso Internazione di Archeologia Sottomarina 1961, (1971), 296-309; F. van Doorninck, in  G. Bass (ed.) A History of Seafaring based on Underwater Archaeology (1972), 138; Parker, (1992), 256.",,"Thirty-seven columns and two blocks of green marble, probable weight 90-100 tons.",,Copper bolt with a square plate only part of the ship to survive.,,A sounding lead.,100,,
456,1016718.016,5046819.436,457,Capo Testa 1, ,41.233333,9.133333,ca,183,189, ,1,75,?, ,16, , , ,amphoras,Haltern70 Dr9,ceramic,brown-glazed dish,metal,2 lead plates, ,, ,,0,0, ,257,1,, ,902,Capo Testa,Capo Testa A,1,75,,7680,,257,,,,,,,Roman Imperial,,,,,,,,,,
254,560308.1037,5360296.627,255,Carro 3, ,43.316667,5.033333, ,192,198, ,1,275,ca, , , , , ,amphoras,Dr20, ,, , , ,, ,,0,0, ,270,1,, ,1437,Carro,Carro C,1,275,,7693,,270,,,,,,,Roman Imperial,,,,,,,,,,
59,-81634.2932,4551210.92,60,Castillo,'El Pecio Castillo',37.8,-0.733333, ,197,203, ,1,100, , , , , , ,amphoras,Beltran2A, ,, , , ,, ,,0,0, ,279,1,, ,2155,Castillo,Castillo,1,100,,7702,,279,,,,,,,Roman Imperial,,,,,,,,,,
301,612257.1994,6076408.715,302,Chaudeney-sur-Moselle 1, ,47.816667,5.5, ,209,215, ,1,500, , , , , , , ,, ,, , , ,, ,"dugout, 14C 100 +/-60",0,0, ,296,1,, ,1436,Chaudenay-sur-Moselle,Chaudeney-sur-Moselle A,40,160,,7265,,296,Non-Mediterranean,,,,,,Roman Imperial,,,,,,,,,,
302,612257.1994,6076408.715,303,Chaudeney-sur-Moselle 2, ,47.816667,5.5, ,210,216, ,1,500, , , , , , , ,, ,, , , ,, ,,0,0, ,297,1,, ,2563,Chaudenay-sur-Moselle,Chaudenay-sur-Moselle B,130,270,,7266,,297,Non-Mediterranean,,,,,,Roman Imperial,,,,,,,,,,
376,766249.1616,5375609.346,377,"Chrétienne 9, La", ,43.416667,6.883333, ,218,224, ,1,100,?, ,53, ,1974, ,amphoras,"Dr9-10, apparently Dr26, related to Dr28", ,, , ,resin,lead pipe, ,,5,8,remains,308,1,"P. Sibella 1997, 228-229.",A. Joncheray and J.P. Joncheray 2012.,2622,ChrŽtienne,ChrŽtienne I,1,100,,7728,,308,Western Mediterranean,France,Var,,,,Roman Imperial,,,,,,,,,,
369,766100.7356,5375507.177,370,Chrétienne G, ,43.416,6.882,ca,0,0, ,1,100, , ,34,6 +/-,1964, ,Amphoras,Dressel 2-4, ,, , , ,, ,,0,0, , ,0,,A. Joncheray and J.P. Joncheray 2012.,,,,,,,,,,,,,,,,,,,,,,,,,,
370,766100.7356,5375507.177,371,Chrétienne H, ,43.416,6.882,ca,0,0, ,1,50, , ,58, ,1974, ,amphoras,over 300; Dressel 2-4; Dressel 7; Dressel 9-10; Dressel 20; dressel 43, ,, , , ,"communal ceramics, glassware, weapons, tools; iron anchor (2.5m x 1.3m)", ,Significant grafiti,0,0, , ,0,,C. Santamaria 1984; A. Joncheray and J.P. Joncheray 2012.,,,,,,,,,,,,,,,,,,,,,,,,,,
371,766100.7356,5375507.177,372,Chrétienne L, ,43.416,6.882,ca,0,0, ,1,200, , ,60,2 +/-,1993, ,amphoras,"Dressel 7-11; Dr2-4; Dr.9-10; Punic; Rhodian; ""flat bottomed""", ,, , , ,, ,,0,0, , ,0,,A. Joncheray and J.P. Joncheray 2012.,,,,,,,,,,,,,,,,,,,,,,,,,,
377,766249.1616,5375609.346,378,Chrétienne M-3, ,43.416667,6.883333, ,219,225, ,1,100, , ,27, , , ,amphoras,Richborough 527,ceramic,"Pompeian plates, plates of open form or covered",marble,marble plaque,"lead seals of merchandise, mineral objects, pumice stone, pozzolana, Egyptian blue",, ,,0,0, , ,0,"A. Joncheray and J.P. Joncheray 2002, 57-130.", ,,,,,,,,,,,,,,,,,,,,,,,,,,
704,1365519.087,5676791.151,705,Corte Cavanella, ,45.35,12.266667,ca,236,243, ,1,300, , , ,silted, , ,ceramic,,glass,,lamps,oil lamps,coins,, ,,7.45,1.9, ,339,1,, ,1781,Corte Cavanella,Corte Cavanella,1,300,,7759,,339,,,,,,,Roman Imperial,,,,,,,,,,
1,-988888.1432,5236173.784,2,Cortegada, ,42.5,-8.883333,ca,237,244, ,1,100,?, , , , , ,amphoras,,ceramic,"terra sigillata plates, native pottery",tiles, , ,, ,,0,0, ,340,1,, ,2048,Cortegada,Cortegada,1,100,,7267,,340,Non-Mediterranean,,,,,,Roman Imperial,,,,,,,,,,
1033,2807106.493,4220649.638,1034,Dhia 1, ,35.416667,25.216667,ca,261,270, ,1,100, , ,30, , , ,amphoras,Roman-type Rhodian Nubian Coan Dr18 Dr25, ,, , , ,, ,,0,0, ,359,1,, ,1999,Dhia,Dhia A,1,100,C 1st AD,200,90,359,Aegean,Greece,"Island of Dhia, North Crete",30,30,30m,Roman Imperial,"Unpublished, Parker (1992), 359.","Main cargo of Rhodian amphorae, also some Nubian, Coan, Dr. 18 and 25.",,,,,,,,
362,760683.1871,5373055.472,363,Dramont 2,Dramont B,43.4,6.833333, ,278,287, ,1,10, , ,39, ,1957, ,amphoras,Dr2-4,ceramic,"cooking ware, Arretine, and Iberian pottery", , , ,, ,,0,0, ,372,1,,A. Joncheray and J.P. Joncheray 2012.,1444,Dramont,Dramont B,1,10,early C1st AD,7790,,372,Western Mediterranean,France,Var,,,,Roman Imperial,"C. Carreras Montfort and P. Berni Millet in Rivet and Sciallano (eds), Vivre, Produire et Echanger: Reflets Mediterraneans. Melanges offerts a Bernard Liou (2002), 359-369",,,,,,,,,
58,-83489.6181,4551210.92,59,Dunas del Pinatar, ,37.8,-0.75,?,286,295, ,1,250,ca, , , , , ,amphoras,Dr20, ,, , , ,, ,,0,0, ,380,1,"J.P. Reyes 1996, 63 n4.", ,2334,Dunas del Pinatar,Dunas del Pinatar,1,250,,7797,,380,,,,,,,Roman Imperial,,,,,,,,,,
489,1038981.914,5066576.279,490,Est-Perduto, ,41.366667,9.333333, ,295,306, ,1,50,?, ,87, , , ,amphoras,Dr2-4, ,, , , ,, ,,10,0,remains,392,1,, ,1799,Perduto,Est-Perduto 1,1,50,1st half C1st AD,7809,,392,Western Mediterranean,France,Corsica,87,87,87m,Roman Imperial,"Bilan Scientifique  2005, 93; C. Carreras Montfort and P. Berni Millet in Rivet and Sciallano (eds), Vivre, Produire et Echanger: Reflets Mediterraneans. Melanges offerts a Bernard Liou (2002), 359-369",A much pillaged site of Dr 2-4 amphorae,,,,,,,,
,,,,Fethiye Karaburun ,,36.593,28.863,ca,,,,1,100,?,,23.5,8.5 +/-,2007,,Amphoras,"200-300 pieces, seven different kinds identified; the majority are 1st century Rhodos amphoras with handles; also egg-shaped Knidos amphoras with handles, also Roman cylinder-shaped. ",,,,,,,,,,,,,,"H. Özdaş, ""Akdeniz Bölgesi Sualtı Araştırması 2007 Yılı Çalışmaları,"" 2009. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
241,549176.1546,5375609.346,242,Fos 2, ,43.416667,4.933333, ,319,330, ,1,100, , , , , , ,amphoras,Dr6, ,, , , ,, ,,0,0, ,423,1,, ,2638,Fos,Fos B,1,100,,7840,,423,,,,,,,Roman Imperial,,,,,,,,,,
20,-612257.1994,4296035.726,21,Gibraltar Strait, ,35.966667,-5.5, ,336,347, ,1,100,?, ,400, , , ,amphoras,Dr9 , ,, , , ,, ,,0,0, ,447,1,, ,1419,Gibraltar,Gibraltar Strait,1,100,,7863,,447,,,,,,,Roman Imperial,,,,,,,,,,
315,680904.2187,5314509.028,316,Giens 2, ,43.016667,6.116667,ca,337,348, ,1,100, , , , , , ,ceramic,"S Gaulish terra sigillata, Drag. 18, 27, 35, and 32/37", ,, , , ,, ,,0,0, ,449,1,, ,1795,Giens,Giens B,1,100,,7865,,449,,,,,,,Roman Imperial,,,,,,,,,,
920,1825639.649,5337374.718,921,Goica,Gojca,43.166667,16.4, ,343,355, ,1,100,?, , , , , ,amphoras,total of 401; Dr6A (quanity 300); 100 extracted before excavation, ,, , , ,, ,"Parker's date is -25 to 50. Three mugs of Izmetiste type are mentioned in the initial report of 1974. Although other amphorae (Dr 2-4 and Dr 1) and remains of a lead bilge pump are mentioned by other sources, this may be unreliable information",0,0, ,456,1,, ,1719,Goica/Gojca Islet,Goica/Gojca Islet,1,100,C1st AD,7872,,456,Adriatic,Croatia,Pakleni Islands near Hvar,25,40,40m,Roman Imperial,"M. Jurisic, Ancient Shipwrecks of the Adriatic (2000), no. 11","Although other amphorae (Dr 2-4 and Dr 1) and remains of a lead bilge pump are mentioned by other sources, this may be unreliable information. NB Date change since Parker",,,,Three mugs of Izmetiste type are mentioned in the initial report of 1974.,,,,
546,1102062.959,5373055.472,547,Gorgona 1, ,43.4,9.9, ,347,359, ,1,100,?, ,55, , , ,amphoras,Dr7-11 Beltran2A, ,, , ,"ca 500 amphoras, many looted",, ,,0,0, ,461,1,, ,2667,Gorgona,Gorgona A,1,100,,7877,,461,,,,,,,Roman Imperial,,,,,,,,,,
654,1302438.042,5193490.518,655,Gravisca, ,42.216667,11.7, ,357,368, ,1,100,?, , ,shallow, , ,amphoras,Dr7-11,metal,iron bars, , , ,, ,200 m from shore,0,0, ,481,1,, ,1818,Gravisca,Gravisca,1,100,,7897,,481,,,,,,,Roman Imperial,,,,,,,,,,
137,333958.4724,4764735.556,138,"Guardis 2, Na", ,39.3,3, ,363,374, ,1,25,?, ,3, , , ,amphoras,PE25 PE41 Dr2-4 Pascual1,ceramic,"S Gaulish terra sigillata bowls, fine-wall beakers, coarseware", , ,oysters,ballast, ,remains of hull,0,0, ,490,1,, ,2568,Guardis,Guardis B,1,25,,7906,,490,,,,,,,Roman Imperial,,,,,,,,,,
898,1749571.33,5408873.902,899,Gusteranski, ,43.633333,15.716667, ,365,376, ,1,200,?, , , , , ,ceramic,"Forlimpopoli (quantity 2); Western Mediterranean, W. Med Keay XVI (quantity 4); Beltrán 2B (quantity 4); other (quantity 1)",,,, , ,, ,"Parker dates the wreck from 1 to 200. A heavily looted cargo of amphorae and Pompeian red ware. South Italian Pompeian ware consisting of 'orlo bifido' bowls, with plates/lids and standard Pompeian red plates, which were only 15% of the total of 50 brought to the surface.",0,0, ,492,1,"M. Jurisic 2000, no. 17 (via http://oxrep.classics.ox.ac.uk/databases/sites/croatia/gusteranski/696_gusteranski/)", ,696,Gusteranski,Gusteranski,75,125,end C1st - beginning 2nd AD,7908,,492,Adriatic,Croatia,N of Zirje Island,24,24,24m,Roman Imperial,"M. Jurisic, Ancient Shipwrecks of the Adriatic (2000) no. 17",A heavily looted cargo of amphorae and Pompeian red ware.,,"South Italian Pompeian ware consisting of 'orlo bifido' bowls, with plates/lids and standard Pompeian red plates, which were only 15% of the total of 50 brought to the surface.",,,,,,
790,1595575.657,4982886.317,791,Herculaneum 2, ,40.8,14.3333, ,375,386, ,1,100,ca, , ,silted, , , ,, ,, , , ,, ,"Coordinates from Navis I (40 n 45, 14 e 30 are inaccurate).  Roman context, small boat",0,0, , ,0,"Navis I, Herculaneum 2, #199; M. Tuccinardi 1998, 39-42.", ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Host B,,43.066,16.2,,,,,1,100,,,40,,,,Amphoras,Dressel 35-36,,,,,,,,,,,,,,"M. Jurisic 2000, no. 18 (via http://oxrep.classics.ox.ac.uk/databases/sites/croatia/host/1639_host_b/)",,1639,Host,Host B,1,100,C1st AD,7330,,,Adriatic,Croatia,central Dalmatia,18,40,18-40m,Roman Imperial,"M. Jurisic, Ancient Shipwrecks of the Adriatic (2000) no. 18","A cargo of rare Dr 35-36 amphorae, allegedly as there are no illustrations.",,,,,,,,
984,2109504.351,4805576.827,985,Ionian 1, ,39.583333,18.95,ca,386,397, ,1,400,ca, ,700, , , , ,, ,, , , ,, ,Survey find. Dating based on anchor shape.,0,0, , ,0,"B. Phaneuf et al. 2002, 28-29.", ,,,,,,,,,,,,,,,,,,,,,,,,,,
82,0,6446275.841,83,Isle of Wight, ,50,0,ca,391,402, ,1,100, , , , , , ,amphoras,Haltern70, ,, , , ,, ,,0,0, ,521,1,, ,986,Isle of Wight,Isle of Wight,1,100,,7273,,521,Non-Mediterranean,,,,,,Roman Imperial,,,,,,,,,,
769,1549196.247,5582249.594,770,Istria, ,44.75,13.916667,ca,397,408, ,1,1500, , ,2, , , ,metal,lead ingots,metal,lead anchor stocks, , , ,, ,,0,0, ,528,1,, ,1224,Istria,Istria,,,,7941,,528,,,,,,,,,,,,,,,,,
,,,,Karantunic 1,,43,15.233,,,,,1,75,,,42,,,,Amphoras,other (1 piece); Dressel 6A (quantity ??),,,,,,,,"A cargo of amphorae, probably Dr 6A.",,,,,,"M. Jurisic 2000, no. 24 (via http://oxrep.classics.ox.ac.uk/databases/sites/croatia/karantunic/850_karantunic_1/)",,,,,,,,,,,,,,,,,,,,,,,,,,,
